Pregunta;Opcion A;Opcion B;Opcion C;Respuesta Correcta;Bloque;Tema;Feedback
¿En qué año se firmo el tratado de Niza?;1998;2000;2001;c;1;4;En la reunión que tuvo lugar en Niza en el año 2000 se fraguó el texto firmado el 26 de febrero de 2001, que entró en vigor el 1 de febrero de 2003 . El Tratado de Niza es el único tratado de los más importantes que no ha entrado nunca plenamente en vigor, coincidiendo en fechas con las preguntas surgidas en la Declaración de Laeken de la que se extrajo el texto de la fallida Constitución Europea.
No es un tipo de norma emanada del Derecho Derivado de la UE:;Reglamento;Dictamen;Interposición;c;1;4;En el Derecho Derivado de la UE encontramos : Reglamentos, Decisiones, Dictámenes, Directivas y Recomendaciones.
El Tribunal de Cuentas Europeo tiene sede en:;Luxemburgo;Estrasburgo;Bruselas;a;1;4;El Tribunal de Cuentas Europeo por el Tratado de Bruselas de 22 de julio de 1975, con sede en Luxemburgo, comenzando sus funciones dos años después. Teniendo hoy en día la función principal de ser el auditor externo independiente de la UE.
Las Administraciones Públicas sirven con objetividad los intereses generales y actúan de acuerdo con los principios de:;Eficacia, jerarquía, descentralización, desconcentración y coordinación;Eficiencia, jerarquía, descentralización, desconcentración y coordinación;Eficacia, jerarquía, descentralización, desconcentración y colaboración;a;1;5;Artículo 3 de la Ley 40/2015. 1. Las Administraciones Públicas sirven con objetividad los intereses generales y actúan de acuerdo con los principios de eficacia, jerarquía, descentralización, desconcentración y coordinación, con sometimiento pleno a la Constitución, a la Ley y al Derecho.
No es un órgano directivo:;Subsecretarías;Subdirecciones;Secretarías de Estado;c;1;5;Las Secretarías de Estado y Ministerios son órganos superiores.
Los Delegados del Gobierno tiene rango de:;Director General ;Subsecretario;Subdirector General;b;1;5;Los Delgados del Gobierno tienen rango de Subsecretario
Por norma general las Delegaciones del Gobierno tienen su sede:;Donde indique el Consejo de Gobierno de la CCAA;Donde radique el Consejo de Gobierno de la CCAA;Donde indique el Presidente del Gobierno;b;1;5;Las Delegaciones del Gobierno tendrán su sede en la localidad donde radique el Consejo de Gobierno de la Comunidad Autónoma, salvo que el Consejo de Ministros acuerde ubicarla en otra distinta y sin perjuicio de lo que disponga expresamente el Estatuto de Autonomía.
No es un tipo de jubilación:;Forzosa;Voluntaria ;Declaración Incapacidad Temporal;c;1;6;La jubilación de los funcionarios podrá ser: a. Voluntaria, a solicitud del funcionario. b. Forzosa, al cumplir la edad legalmente establecida. c.   Por la declaración de incapacidad permanente para el ejercicio de las funciones propias de su cuerpo o escala, o por el reconocimiento de una pensión de incapacidad permanente absoluta o, incapacidad permanente total en relación con el ejercicio de las funciones de su cuerpo o escala.
La edad mínima para ser funcionario en España es:;16 años;18 años;20 años;a;1;6;1. Poseer la capacidad funcional para el desempeño de las tareas. 2. Tener cumplidos dieciséis años y no exceder, en su caso, de la edad máxima de jubilación forzosa. Sólo por ley podrá establecerse otra edad máxima, distinta de la edad de jubilación forzosa, para el acceso al empleo público. 3. No haber sido separado mediante expediente disciplinario del servicio de cualquiera de las Administraciones Públicas o de los órganos constitucionales o estatutarios de las Comunidades Autónomas, ni hallarse en inhabilitación absoluta o especial
La Dirección General de Relaciones Internacionales y Extranjería depende de:;Secretaría de Estado de Seguridad;Subsecretaría de Interior;Secretaría General Técnica;a;1;7;"La Secretaría de Estado de Seguridad, órgano superior del que dependen los siguientes órganos directivos:

1.º La Dirección General de la Policía.

2.º La Dirección General de la Guardia Civil.

3.º La Dirección General de Relaciones Internacionales y Extranjería.

4.º La Dirección General de Coordinación y Estudios."
Gestionar el Punto nacional de contacto con la Guardia Nacional de Fronteras y Costas es una competencia de:;Dirección General de Coordinación y Estudios;La Dirección General de Relaciones Internacionales y Extranjería;Dirección General de Protección Internacional ;b;1;7;En el desarrollo de esta competencia, la Dirección General de Relaciones Internacionales y Extranjería gestiona el Punto Nacional de Contacto (NFPOC) con la Guardia Europea de Fronteras y Costas, y el Centro Nacional de Coordinación de Eurosur (NCC), con la contribución de las Fuerzas y Cuerpos de Seguridad del Estado
La coordinación de las relaciones del Departamento con el Defensor del Pueblo es una función de:;Subsecretaría de Interior;Dirección General de Política Interior;Secretaría General Técnica;c;1;7;Corresponde a la Secretaría General Técnica la coordinación de las relaciones del Departamento con el Defensor del Pueblo
La instrucción y resolución de los expedientes administrativos sobre apatridia es una función de:;La Subdirección General de Instrucción de Protección Internacional y Apatridia;La Subdirección General de Asuntos Generales y Jurídicos de Protección Internacional;La Subdirección General de Relaciones Institucionales e Información de Protección Internacional;a;1;7;La Subdirección General de Instrucción de Protección Internacional y Apatridia, a la que corresponde el ejercicio de las funciones previstas en los párrafos h) e i), en lo referente a la secretaría de la CIAR, y j) k) y l) del apartado 2. (La instrucción y resolución de los expedientes administrativos sobre apatridia)
¿De cuántas categorías cuenta el Cuerpo de Policía Nacional?;4;5;7;c;1;8;"El Cuerpo Nacional de Policía se estructura en Escalas y, dentro de éstas, en Categorías:

a) Escala Superior, con dos Categorías:

Primera: Comisario Principal.

Segunda: Comisario.

b) Escala Ejecutiva, con dos Categorías:

Primera: Inspector Jefe.

Segunda: Inspector.

c) Escala de Subinspección, con la categoría de Subinspector.

d) Escala Básica, con dos Categorías:

Primera: Oficial de Policía.

Segunda: Policía.

2. En el supuesto de corresponder a una mujer la titularidad, la nomenclatura de las Categorías será la siguiente:

Comisaria.

Inspectora.

Subinspectora.

3. Las escalas se clasifican en los siguientes grupos y subgrupos profesionales:

a) Las Escalas Superior y Ejecutiva se clasifican ambas en el Grupo A, subgrupo A1.

b) La Escala de Subinspección se clasifica en el Grupo A, subgrupo A2.

c) La Escala Básica se clasifica en el Grupo C, subgrupo C1."
Indique cual de las siguientes es una especialidad de la Policía Nacional, reflejada en su ley de personal LO 9/2015:;Gestión y coordinación;Cooperación policial;Dirección y coordinación;c;1;8;"La Policía Nacional contará con las especialidades necesarias para realizar aquellas tareas específicas en las que se requiera un determinado nivel de conocimientos en las siguientes áreas de actividad:

a) Dirección y coordinación.

b) Información.

c) Policía Judicial.

d) Seguridad Ciudadana.

e) Extranjería y Fronteras.

f) Policía Científica.

g) Documentación.

h) Cooperación Internacional.

i) Gestión y Apoyo.
"
Gestionar la uniformidad policial es una competencia de:;Área de Contratación y Tramitación;Área de Armamento y Equipamiento Policial ;Secretaría General de la División de Personal;b;1;8;El Área de Armamento y Equipamiento Policial. Con funciones de adquirir y gestionar la uniformidad policial. Adquiere, distribuye y mantiene el armamento y equipos de dotación policial. Igualmente, gestiona el Plan Nacional de Tiro y el mantenimiento las galerías de tiro
En relación a la LO 2/1986 en su artículo 3 los miembros de las Fuerzas y Cuerpos de Seguridad ajustarán su actuación al principio de:;Congruencia, Proporcionalidad e Idoneidad;Cooperación recíproca;Colaboración conjunta;b;1;9;"Artículo tercero. Los miembros de las Fuerzas y Cuerpos de Seguridad ajustarán su actuación al principio de cooperación recíproca y su coordinación se efectuará a través de los órganos que a tal efecto establece esta Ley.
"
La cooperación a la resolución amistosa de los conflictos privados cuando sean requeridos para ello es una función de las Policías Autonómicas con carácter de:;Simultánea;Propia;Colaboración  ;a;1;9;"De prestación simultánea e indiferenciada con las Fuerzas y Cuerpos de Seguridad del Estado: a) La cooperación a la resolución amistosa de los conflictos privados cuando sean requeridos para ello. b) La prestación de auxilio en los casos de accidente, catástrofe o calamidad pública, participando en la forma prevista en las Leyes, en la ejecución de los planes de protección civil. c) Velar por el cumplimiento de las disposiciones que tiendan a la conservación de la naturaleza y medio ambiente, recursos hidráulicos, así como la riqueza cinegética, piscícola, forestal y de cualquier otra índole relacionada con la naturaleza.
"
Las Unidades Adscritas de la Policía Nacional a las CCAA dependerán:;Organicamente de las CCAA;Funcionalmente de las CCAA;Ambas son correctas;b;1;9;Las Unidades adscritas dependerán, funcionalmente, de las Autoridades de la Comunidad Autónoma, y orgánicamente del Ministerio del Interior
Según la Orden INT/859/2023, de 21 de julio, por la que se desarrolla la estructura orgánica y funciones de los servicios centrales y territoriales de la Dirección General de la Policía, la Oficina Central de Asuntos Taurinos se incardina en:;La Brigada de Coordinación Operativa de la Unidad Central de Coordinación Operativa y Técnica, CGSC;La Secretaría General de la Unidad Central de Coordinación Operativa y Técnica, CGSC;La Brigada Central de Inspección e Investigación de la Unidad Central de Coordinación Operativa y Técnica, CGSC;a;1;8;La Brigada de Coordinación Operativa. Le compete planificar y coordinar las operaciones de su ámbito funcional, ejerciendo la supervisión de los servicios a nivel central. De esta Brigada dependen la Oficina Nacional de Deportes y la Oficina Central de Asuntos Taurinos
Ley Orgánica 4/2010, de 20 de mayo, del Régimen disciplinario del Cuerpo Nacional de Policía. El tiempo de suspensión provisional, como consecuencia de un expediente disciplinario, por hechos que no son objeto de procedimiento penal:;No podrá exceder de tres meses en caso de faltas leves, y de seis meses, en caso de faltas graves y muy graves, salvo en caso de paralización del procedimiento imputable al interesado;No podrá exceder de tres meses en caso de faltas leves, de seis meses en caso de faltas graves, y de un año en caso de faltas muy graves, salvo en caso de paralización del procedimiento imputable al interesado;No podrá exceder de tres meses en caso de faltas graves, y de seis meses, en caso de faltas muy graves, salvo en caso de paralización del procedimiento imputable al interesado;c;1;8;Art. 33 Lo 4/2010 El tiempo de suspensión provisional, como consecuencia de un expediente disciplinario, por hechos que no son objeto de procedimiento penal, no podrá exceder de tres meses en caso de faltas graves, y de seis meses, en caso de faltas muy graves, salvo en caso de paralización del procedimiento imputable al interesado
Jaime, ciudadano español, fue identificado por la UCRIF contratando trabajadores extranjeros sin haber obtenido con carácter previo la correspondiente autorización de residencia y trabajo. Al ser una infracción muy grave, se le incoará expediente sancionador: (indique la incorrecta):;Preferente, si se le propone para expulsión;Ordinario, aunque se le proponga para expulsión. ;Ninguna es correcta;c;1;11;De acuerdo con la Ley Orgánica 4/2000, sobre derechos y libertades de los extranjeros en España y su integración social, cuando el sujeto infractor no es extranjero, aunque la infracción sea muy grave, no se aplica el procedimiento preferente previsto para extranjeros con propuesta de expulsión. En estos casos, se seguirá el procedimiento ordinario sancionador.
Jouseff llegó en patera a Canarias sin familia. Es de Costa de Marfil y menor de edad. Asignado por las autoridades competentes un representante legal, este presentó la solicitud de protección internacional en nombre del menor. Dicha solicitud;Será tramitada por el procedimiento de urgencia, de oficio o a petición del interesado;Transcurridos seis meses desde la presentación de la solicitud sin que se haya notificado la correspondiente resolución, la misma podrá entenderse desestimada, sin perjuicio de la obligación de la Administración de resolver expresamente y de lo dispuesto en el apartado séptimo del artículo 19 de la presente Ley;Ambas son correctas;a;1;12;artículo 25.1 de la Ley 12/2009, reguladora del derecho de asilo y de la protección subsidiaria, las solicitudes de protección internacional de menores no acompañados se tramitan de oficio por el procedimiento de urgencia. Esta medida garantiza una mayor celeridad en la resolución del procedimiento en atención a la especial vulnerabilidad del menor.
RD 1325/2003, de 24 de octubre, por el que se aprueba el Reglamento sobre régimen de protección temporal en caso de afluencia masiva de personas desplazadas. El régimen de protección temporal regulado en este reglamento se declarará por:;El Consejo Europeo, mediante decisión, a propuesta de la Comisión Europea;El Gobierno español, mediante acuerdo del Consejo de Ministros, a propuesta del Ministro de Asuntos Exteriores en los supuestos de evacuación, o del Ministro del Interior en los de emergencia;Ambas son incorrectas;b;1;12;Artículo 3 del Real Decreto 1325/2003, el régimen de protección temporal se declara mediante acuerdo del Consejo de Ministros español. La propuesta la realiza el Ministro de Asuntos Exteriores en casos de evacuación, o el Ministro del Interior en los de emergencia, ante una afluencia masiva de personas desplazadas que no puedan retornar a su país de origen en condiciones seguras y duraderas.
Ley 5/2014, de 4 de abril, de Seguridad Privada. Constituyen actividades de seguridad privada las siguientes;La vigilancia y protección de bienes, establecimientos, lugares y eventos, exclusivamente privados, así como de las personas que pudieran encontrarse en los mismos;El acompañamiento, defensa y protección de personas físicas y jurídicas determinadas, incluidas las que ostenten la condición legal de autoridad;El depósito, custodia, recuento y clasificación de monedas y billetes, títulos-valores, joyas, metales preciosos, antigüedades, obras de arte u otros objetos que, por su valor económico, histórico o cultural, y expectativas que generen, puedan requerir vigilancia y protección especial;c;1;13;Artículo 5. Actividades de seguridad privada. 1. Constituyen actividades de seguridad privada las siguientes: a) La vigilancia y protección de bienes, establecimientos, lugares y eventos, tanto públicos como privados, así como de las personas que pudieran encontrarse en los mismos. b) El acompañamiento, defensa y protección de personas físicas determinadas, incluidas las que ostenten la condición legal de autoridad. c) El depósito, custodia, recuento y clasificación de monedas y billetes, títulos-valores, joyas, metales preciosos, antigüedades, obras de arte u otros objetos que, por su valor económico, histórico o cultural, y expectativas que generen, puedan requerir vigilancia y protección especial. d) El depósito y custodia de explosivos, armas, cartuchería metálica, sustancias, materias, mercancías y cualesquiera objetos que por su peligrosidad precisen de vigilancia y protección especial. e) El transporte y distribución de los objetos a que se refieren los dos párrafos anteriores. f) La instalación y mantenimiento de aparatos, equipos, dispositivos y sistemas de seguridad conectados a centrales receptoras de alarmas o a centros de control o de videovigilancia. g) La explotación de centrales para la conexión, recepción, verificación y, en su caso, respuesta y transmisión de las señales de alarma, así como la monitorización de cualesquiera señales de dispositivos auxiliares para la seguridad de personas, de bienes muebles o inmuebles o de cumplimiento de medidas impuestas, y la comunicación a las Fuerzas y Cuerpos de Seguridad competentes en estos casos. h) La investigación privada en relación a personas, hechos o delitos sólo perseguibles a instancia de parte.
Ley 5/2014, de 4 de abril, de Seguridad Privada. En el ámbito de la empresa de seguridad en cuya plantilla están integrados, corresponde a los jefes de seguridad el ejercicio de las siguientes funciones:;La responsabilidad sobre la custodia y el traslado de armas de titularidad de la empresa a la que pertenezca, de acuerdo con la normativa de armas y con lo que reglamentariamente se determine;La interlocución y enlace con la Administración, especialmente con las Fuerzas y Cuerpos de Seguridad, respecto de la función de seguridad integral de la entidad, empresa o grupo empresarial que les tenga contratados, en relación con el cumplimiento normativo sobre gestión de todo tipo de riesgos;Las comprobaciones de los aspectos necesarios sobre el personal que, por el ejercicio de las funciones encomendadas, precise acceder a áreas o informaciones, para garantizar la protección efectiva de su entidad, empresa o grupo empresarial;a;1;13;Artículo 36.1 de la Ley 5/2014, de Seguridad Privada, los jefes de seguridad en el ámbito de la empresa tienen atribuida, entre otras funciones, la custodia y traslado de armas, conforme a la normativa específica de armas y la reglamentación que lo desarrolle. Las otras funciones mencionadas se corresponden con competencias de otras figuras del sistema de seguridad privada, como los directores de seguridad
Ley Orgánica 4/2015, de 30 de marzo, de protección de la seguridad ciudadana. Medidas de seguridad extraordinarias. Las autoridades competentes podrán acordar, como medidas de seguridad extraordinarias:;El decomiso de vehículos;La imposición de sanciones;El cierre o desalojo de locales o establecimientos;c;1;14;Artículo 21. Medidas de seguridad extraordinarias. Las autoridades competentes podrán acordar, como medidas de seguridad extraordinarias, el cierre o desalojo de locales o establecimientos, la prohibición del paso, la evacuación de inmuebles o espacios públicos debidamente acotados, o el depósito de explosivos u otras sustancias susceptibles de ser empleadas como tales, en situaciones de emergencia que las hagan imprescindibles y durante el tiempo estrictamente necesario para garantizar la seguridad ciudadana. Dichas medidas podrán adoptarse por los agentes de la autoridad si la urgencia de la situación lo hiciera imprescindible, incluso mediante órdenes verbales. A los efectos de este artículo, se entiende por emergencia aquella situación de riesgo sobrevenida por un evento que pone en peligro inminente a personas o bienes y exige una actuación rápida por parte de la autoridad o de sus agentes para evitarla o mitigar sus efectos.
Ley Orgánica 4/2015, de 30 de marzo, de protección de la seguridad ciudadana. Procedimiento sancionador. El procedimiento caducará:;Transcurrido un año desde su incoación sin que se haya notificado la resolución, excepto el abreviado que caducará a los tres meses;Transcurridos seis meses desde su incoación sin que se haya notificado la resolución;Transcurrido un año desde su incoación sin que se haya notificado la resolución;c;1;14;Artículo 50. Caducidad del procedimiento. 1. El procedimiento caducará transcurrido un año desde su incoación sin que se haya notificado la resolución, debiendo, no obstante, tenerse en cuenta en el cómputo las posibles paralizaciones por causas imputables al interesado o la suspensión que debiera acordarse por la existencia de un procedimiento judicial penal, cuando concurra identidad de sujeto, hecho y fundamento, hasta la finalización de éste. 2. La resolución que declare la caducidad se notificará al interesado y pondrá fin al procedimiento, sin perjuicio de que la administración pueda acordar la incoación de un nuevo procedimiento en tanto no haya prescrito la infracción. Los procedimientos caducados no interrumpirán el plazo de prescripción.
La Comisión Nacional para la Protección de las Infraestructuras Críticas se reunirá:;Al menos una vez al mes, con carácter ordinario, y de forma extraordinaria cuando así se considere oportuno previa convocatoria de su Presidente;Al menos una vez cada seis meses, con carácter ordinario, y de forma extraordinaria cuando así se considere oportuno previa convocatoria de su Presidente;Al menos una vez al año, con carácter ordinario, y de forma extraordinaria cuando así se considere oportuno previa convocatoria de su Presidente;c;1;15;Art. 11 RD 704/2011 La Comisión se reunirá al menos una vez al año, con carácter ordinario, y de forma extraordinaria cuando así se considere oportuno previa convocatoria de su Presidente, quien determinará el orden del día de la reunión en los términos previstos para los órganos colegiados en el Capítulo II del Título II de la Ley 30/1992, de 26 de noviembre, de Régimen Jurídico de las Administraciones Públicas y del Procedimiento Administrativo Común. La secretaría de la Comisión radicará en el Director del CNPIC
Los Planes de Apoyo Operativo son los documentos operativos donde se deben plasmar las medidas concretas a poner en marcha por las Administraciones Públicas en apoyo de los operadores críticos para la mejor protección de las infraestructuras críticas. Supervisará la realización de los Planes de Apoyo Operativo:;Las Delegaciones del Gobierno en las Comunidades Autónomas;En su caso, los órganos competentes de las Comunidades Autónomas;Ambas son correctas;c;1;15;"Art. 30 RD 704/2011 1. Los Planes de Apoyo Operativo son los documentos operativos donde se deben plasmar las medidas concretas a poner en marcha por las Administraciones Públicas en apoyo de los operadores críticos para la mejor protección de las infraestructuras críticas.

2. Por cada una de las infraestructuras críticas e infraestructuras críticas europeas dotadas de un Plan de Protección Específico y sobre la base a los datos contenidos en éste, la Delegación del Gobierno en la Comunidad Autónoma o, en su caso, el órgano competente de la Comunidad Autónoma, supervisará la realización de un Plan de Apoyo Operativo por parte del Cuerpo Policial estatal, o en su caso autonómico, con competencia en la demarcación territorial de que se trate. Para su elaboración, que deberá realizarse en un plazo de cuatro meses a partir de la aprobación del respectivo Plan de Protección Específico, se contará con la colaboración del responsable de seguridad de la infraestructura.

3. Sobre la base de sus correspondientes Planes de Protección Específicos, los Planes de Apoyo Operativo deberán contemplar, si las instalaciones lo precisan, las medidas planificadas de vigilancia, prevención, protección y reacción que deberán adoptar las unidades policiales y, en su caso, de las Fuerzas Armadas, cuando se produzca la activación del Plan Nacional de Protección de las Infraestructuras Críticas, o bien de confirmarse la existencia de una amenaza inminente sobre dichas infraestructuras. Estas medidas serán siempre complementarias a aquellas de carácter gradual que hayan sido previstas por los operadores críticos en sus respectivos Planes de Protección Específicos.

4. El CNPIC establecerá los contenidos mínimos de los Planes de Apoyo Operativo, así como el modelo en el que fundamentar la estructura y desarrollo de éstos, que se basarán en la parte que les corresponda en la información contenida en los respectivos Planes de Protección Específicos.

5. El Ministerio de Defensa podrá acceder a los Planes de Apoyo Operativo de aquellas infraestructuras críticas o infraestructuras críticas europeas que, en caso de activarse el Plan Nacional de Protección de las Infraestructuras Críticas y a los efectos de coordinar los correspondientes apoyos de las Fuerzas Armadas, se considere oportuno, previo estudio conjunto de los mencionados apoyos."
"En relación con los delitos de omisión ¿a qué tipo se refiere la conducta de ""el que, estando obligado a ello, denegare asistencia sanitaria o abandonare los servicios sanitarios cuando de la denegación o abandono se derive riesgo grave para la salud de las personas""?: ";Comisión por omisión;Omisión del deber;Omisión impropia;b;1;16;Artículo 196 del Código Penal como un delito de omisión del deber de socorro en el ámbito sanitario, una modalidad específica de omisión del deber legal, distinta de la comisión por omisión u omisión impropia. Se trata de una infracción propia de quien, teniendo la obligación legal de actuar (por su posición profesional), no lo hace, poniendo en peligro grave la salud de otros.
José, de 17 años, fue agredido por su vecino Juan, de 22 años, que le causó lesiones leves. José denunció a Juan, pero antes de la celebración del juicio oral por delito leve, José manifiesta al juez la intención de perdonar a Juan. ¿Se celebrará el juicio?;No. El perdón de la persona ofendida, cuando se trate de delitos leves perseguibles a instancias de la persona agraviada, extingue la responsabilidad criminal;No. El perdón de la persona ofendida, cuando se trate de delitos leves perseguibles a instancias de la persona agraviada, extingue la responsabilidad criminal, oído el Ministerio Fiscal si la víctima es menor de edad;) Sí. En los delitos cometidos contra personas menores de edad o personas con discapacidad necesitadas de especial protección que afecten a bienes jurídicos eminentemente personales, el perdón de la persona ofendida no extingue la responsabilidad criminal;c;1;16;Artículo 130.1.5ª del Código Penal, el perdón del ofendido extingue la responsabilidad criminal salvo en determinados supuestos, como los delitos cometidos contra menores de edad o personas con discapacidad necesitadas de especial protección, cuando afecten a bienes jurídicos personales.
El carácter fragmentario del derecho penal viene determinado porque:;"El derecho penal es la ""última ratio""";Solo se protegen los bienes jurídicos más importantes, y de los ataques más graves;El código penal establece penas y medidas de seguridad;b;1;16;El carácter fragmentario del Derecho Penal implica que no protege todos los bienes jurídicos ni sanciona todas las conductas ilícitas, sino solo aquellas más graves que afectan a los bienes más importantes, como la vida, la libertad o la integridad. El concepto de ultima ratio, evita una intervención excesiva de los poderes del estado.
Indique la opción correcta en relación al delito de Amenazas:;Las amenazas de un mal que no constituya delito serán castigadas con pena de prisión de tres meses a un año o multa de seis a 24 meses, atendidas la gravedad y circunstancia del hecho, cuando la amenaza fuere condicional y la condición no consistiere en una conducta debida. Si el culpable hubiere conseguido su propósito se le impondrá la pena en su mitad inferior;Si alguien exigiere de otro una cantidad o recompensa bajo la amenaza de revelar o difundir hechos referentes a su vida privada o relaciones familiares que sean o no públicamente conocidos y puedan afectar a su fama, crédito o interés, será castigado con la pena de prisión de dos a cuatro años, si ha conseguido la entrega de todo o parte de lo exigido, y con la de cuatro meses a dos años, si no lo consiguiere;El que de modo leve amenace con armas u otros instrumentos peligrosos a alguna de las personas a las que se refiere el artículo 173.2, exceptuadas las contempladas en el apartado anterior de este artículo, será castigado con la pena de prisión de tres meses a un año o trabajos en beneficio de la comunidad de treinta y uno a ochenta días y, en todo caso, privación del derecho a la tenencia y porte de armas de uno a tres años, así como, cuando el Juez o Tribunal lo estime adecuado al interés del menor o persona con discapacidad necesitada de especial protección, inhabilitación especial para el ejercicio de la patria potestad, tutela, curatela, guarda o acogimiento por tiempo de seis meses a tres años;c;1;17;"Art. 171 CP "" El que de modo leve amenace a quien sea o haya sido su esposa, o mujer que esté o haya estado ligada a él por una análoga relación de afectividad aun sin convivencia, será castigado con la pena de prisión de seis meses a un año o de trabajos en beneficio de la comunidad de treinta y uno a ochenta días y, en todo caso, privación del derecho a la tenencia y porte de armas de un año y un día a tres años, así como, cuando el Juez o Tribunal lo estime adecuado al interés del menor o persona con discapacidad necesitada de especial protección, inhabilitación especial para el ejercicio de la patria potestad, tutela, curatela, guarda o acogimiento hasta cinco años.

Igual pena se impondrá al que de modo leve amenace a una persona especialmente vulnerable que conviva con el autor.

5. El que de modo leve amenace con armas u otros instrumentos peligrosos a alguna de las personas a las que se refiere el artículo 173.2, exceptuadas las contempladas en el apartado anterior de este artículo, será castigado con la pena de prisión de tres meses a un año o trabajos en beneficio de la comunidad de treinta y uno a ochenta días y, en todo caso, privación del derecho a la tenencia y porte de armas de uno a tres años, así como, cuando el Juez o Tribunal lo estime adecuado al interés del menor o persona con discapacidad necesitada de especial protección, inhabilitación especial para el ejercicio de la patria potestad, tutela, curatela, guarda o acogimiento por tiempo de seis meses a tres años.

Se impondrán las penas previstas en los apartados 4 y 5, en su mitad superior cuando el delito se perpetre en presencia de menores, o tenga lugar en el domicilio común o en el domicilio de la víctima, o se realice quebrantando una pena de las contempladas en el artículo 48 de este Código o una medida cautelar o de seguridad de la misma naturaleza."""
Son reos del delito de robo con fuerza en las cosas los que ejecuten el hecho cuando concurra alguna de las circunstancias siguientes:;Rompimiento de pared, techo o suelo, o fractura de puerta o ventana;Fractura de armarios, arcas u otra clase de muebles u objetos cerrados o sellados, o forzamiento de sus cerraduras o descubrimiento de sus claves para sustraer su contenido, cuando el hecho ocurra siempre en el lugar del robo;Inutilización de sistemas específicos de alarma instalados en las cosas sustraídas;a;1;18;Artículo 238 del Código Penal establece las circunstancias específicas que convierten un hurto en robo con fuerza en las cosas. Una de ellas es el rompimiento de pared, techo, suelo o fractura de puerta o ventana para acceder al lugar donde se encuentra el objeto sustraído. Este tipo de fuerza recae sobre los elementos estructurales o de acceso al lugar del hecho, no sobre los objetos concretos sustraídos
